frame_id,point_index,yaw_deg,pitch_deg,distance_mm,x_mm,y_mm,z_mm
4,0,-0.00,-30.30,189,163.18,-0.00,-95.36
4,1,-0.00,-29.40,214,186.44,-0.00,-105.05
4,2,-0.00,-28.50,222,195.10,-0.00,-105.93
4,3,-0.00,-27.60,239,211.80,-0.00,-110.73
4,4,-0.00,-26.70,251,224.24,-0.00,-112.78
4,5,-0.00,-25.80,254,228.68,-0.00,-110.55
4,6,-0.00,-24.90,257,233.11,-0.00,-108.21
4,7,-0.00,-24.00,266,243.00,-0.00,-108.19
4,8,-0.00,-23.10,287,263.99,-0.00,-112.60
4,9,-0.00,-22.20,295,273.13,-0.00,-111.46
4,10,-0.00,-21.30,296,275.78,-0.00,-107.52
4,11,-0.00,-20.40,301,282.12,-0.00,-104.92
4,12,-0.00,-19.50,323,304.47,-0.00,-107.82
4,13,-0.00,-18.60,329,311.82,-0.00,-104.94
4,14,-0.00,-17.70,335,319.14,-0.00,-101.85
4,15,-0.00,-16.80,342,327.40,-0.00,-98.85
4,16,-0.00,-15.90,383,368.35,-0.00,-104.93
4,17,1.05,-30.30,206,177.83,3.26,-103.93
4,18,1.05,-29.40,223,194.25,3.56,-109.47
4,19,1.05,-28.50,226,198.58,3.64,-107.84
4,20,1.05,-27.60,236,209.11,3.83,-109.34
4,21,1.05,-26.70,242,216.16,3.96,-108.74
4,22,1.05,-25.80,246,221.44,4.06,-107.07
4,23,1.05,-24.90,266,241.23,4.42,-112.00
4,24,1.05,-24.00,276,252.10,4.62,-112.26
4,25,1.05,-23.10,280,257.51,4.72,-109.86
4,26,1.05,-22.20,288,266.61,4.89,-108.82
4,27,1.05,-21.30,303,282.25,5.17,-110.07
4,28,1.05,-20.40,312,292.38,5.36,-108.76
4,29,1.05,-19.50,316,297.82,5.46,-105.48
4,30,1.05,-18.60,325,307.97,5.64,-103.66
4,31,1.05,-17.70,334,318.14,5.83,-101.55
4,32,1.05,-16.80,359,343.62,6.30,-103.76
4,33,1.05,-15.90,369,354.82,6.50,-101.09
4,34,1.05,-15.00,390,376.65,6.90,-100.94
4,35,1.05,-7.80,1969,1950.45,35.75,-267.23
4,36,1.05,-6.90,1930,1915.70,35.11,-231.87
4,37,1.05,-6.00,1864,1853.48,33.97,-194.85
4,38,1.05,-5.10,1818,1810.50,33.18,-161.62
4,39,1.05,-4.20,1762,1756.97,32.20,-129.05
4,40,1.05,-3.30,1660,1656.97,30.37,-95.56
4,41,1.05,-2.40,1625,1623.30,29.75,-68.05
4,42,1.05,-1.50,1587,1586.19,29.07,-41.55
4,43,1.05,-0.60,1572,1571.65,28.81,-16.47
4,44,1.95,-30.30,193,166.54,5.67,-97.37
4,45,1.95,-29.40,222,193.30,6.58,-108.98
4,46,1.95,-28.50,226,198.50,6.76,-107.84
4,47,1.95,-27.60,229,202.82,6.91,-106.10
4,48,1.95,-26.70,241,215.18,7.33,-108.29
4,49,1.95,-25.80,256,230.35,7.84,-111.42
4,50,1.95,-24.90,265,240.23,8.18,-111.58
4,51,1.95,-24.00,270,246.51,8.39,-109.82
4,52,1.95,-23.10,275,252.80,8.61,-107.89
4,53,1.95,-22.20,297,274.82,9.36,-112.22
4,54,1.95,-21.30,299,278.41,9.48,-108.61
4,55,1.95,-20.40,305,285.71,9.73,-106.32
4,56,1.95,-19.50,314,295.82,10.07,-104.82
4,57,1.95,-18.60,324,306.90,10.45,-103.34
4,58,1.95,-17.70,352,335.14,11.41,-107.02
4,59,1.95,-16.80,356,340.61,11.60,-102.90
4,60,1.95,-15.90,369,354.68,12.08,-101.09
4,61,1.95,-15.00,385,371.67,12.65,-99.65
4,62,1.95,-8.70,1608,1588.58,54.09,-243.23
4,63,1.95,-7.80,1596,1580.32,53.81,-216.61
4,64,1.95,-6.90,1580,1567.65,53.37,-189.82
4,65,1.95,-5.10,1550,1542.97,52.53,-137.79
4,66,1.95,-4.20,1556,1550.92,52.80,-113.96
4,67,1.95,-3.30,1540,1536.56,52.32,-88.65
4,68,1.95,-2.40,1510,1507.80,51.34,-63.24
4,69,1.95,-1.50,1491,1489.63,50.72,-39.04
4,70,1.95,-0.60,1479,1478.06,50.32,-15.49
